year,production_mt,sale_value_of_production,profit_before_tax,profit_after_tax
2009.0,,,3399.13,2920.29
2010.0,,2642.75,4515.15,4329.5
2011.0,,6157.11,1135.7,1093.69
2012.0,30.2,7201.33,822.36,822.36
2013.0,31.21,8359.73,1718.545,1603.9299999999998
2014.0,32.61,8287.99,2119.23,2089.01
2015.0,34.51,8041.73,1157.64,1154.22
2016.0,35.86,8715.38,768.85,671.06
2017.0,37.04,8622.36,-148.48,-246.64
2018.0,32.61,7299.79,-1935.41,-2057.38
2019.0,31.04,9377.68,691.9,557.05
2020.0,27.73,8472.0,812.51,706.34
2021.0,24.66,6938.34,-1577.06,-1202.48
2022.0,30.51,4631.635,191.31,111.62
2023.0,36.179,12309.0,530.19,664.78
2024.0,41.096,,2091.67,1564.46
